id,name_1,name_2,name_3,street,city,zip
657b8274fba264349a087bfd,MLK GAS STATION,TTVV CORP,MLK GAS STATION,1515 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,900621743900621743
657b8274fba264349a087ce4,PALM AVE MOTORS AUTO REPAIR,DONALD TRAVIS ROUSSEAU,PALM AVE MOTORS AUTO REPAIR,308 7TH AVE,SAN MATEO,944014218
657b8274fba264349a088263,OCEAN SNACK ALASKAN FISH,WOOBO,ROLLINS RAMEN,2524 W LINCOLN AVE,ANAHEIM,928016432
657b8274fba264349a088b3c,LAS PALMAS ON SF,GLADYS LOPEZ,LAS PALMAS ON SF,5251 3RD ST,SAN FRANCISCO,941242637
657b8274fba264349a089f09,"C AND M AUTOMOTIVE REPAIR SPECIALISTS, INC.","C AND M AUTOMOTIVE REPAIR SPECIALISTS, INC.","C AND M AUTOMOTIVE REPAIR SPECIALISTS, INC.",318 GARDEN HWY,YUBA CITY,959915914
657b8274fba264349a08acbc,ALL AUTO WORX INC,ALL AUTO WORX INC,ALL AUTO WORX INC,7664 INDIANA AVE,RIVERSIDE,925044150
657b8274fba264349a08af79,CASTRO VALLEY MINIMART,"TD OIL & GAS, LLC",CASTRO VALLEY MINIMART,2770 CASTRO VALLEY BLVD STE A,CASTRO VALLEY,945465412
657b8275fba264349a08c13e,JT BODY SHOP,EMETERIO LOPEZ-FLORES,JT BODY SHOP,8911 MURRAY AVE,GILROY,950203699
657b8275fba264349a08dca5,ARTURO'S AUTO BODY,ARTURO PEREZ,ARTURO'S AUTO BODY,901 E PACIFIC COAST HWY,LONG BEACH,908065625
657b8275fba264349a08e743,OLIVE GARDEN,N AND D RESTAURANTS LLC,OLIVE GARDEN,11966 LOS OSOS VALLEY RD,SAN LUIS OBISPO,934056861
657b8275fba264349a08ed20,HIMALAYAN HOUSE,HIMALAYAN HOUSE LLC,HIMALAYAN HOUSE,1277 W JEFFERSON BLVD,LOS ANGELES,900072939
